id,Title,Permalink,"Portfolio Categories","Portfolio Tags",content_type,int_production_company,director,agency,year,video_id,photographer,record_label,rank_math_title,rank_math_focus_keyword
1356,"Center Parcs 'Clap Your Hands'",https://360films.co.za/portfolio/center-parcs-clap-your-hands/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Nic & Sune","Duval Guillaum, Brussels",20071101,https://vimeo.com/1111754585,,,"Center Parcs 'Clap Your Hands'","previous commercials"
1357,"Direct Line 'Nose Dive'",https://360films.co.za/portfolio/direct-line-nose-dive/,"Orange Films",Commercials,commercials,"The Pavilion@ Serious Pictures, London","John Pardue","M&C Saatchi, London",20071201,https://vimeo.com/1111754557,,,"Direct Line 'Nose Dive'","previous commercials"
1358,"Johnson’s Baby Shampoo 'Happy Hair'",https://360films.co.za/portfolio/johnsons-baby-shampoo-happy-hair/,"Orange Films",Commercials,commercials,"Transparent, London",Shizue,"Lowe, London",20080101,https://vimeo.com/1111754530,,,"Johnson’s Baby Shampoo 'Happy Hair'","previous commercials"
1359,"Ladbrokes 'Parachute'",https://360films.co.za/portfolio/ladbrokes-parachute/,"Orange Films",Commercials,commercials,"Knucklehead, London","Zak & Dan","M&C Saatchi, London",20080201,https://vimeo.com/1111754484,,,"Ladbrokes 'Parachute'","previous commercials"
1360,"Ladbrokes 'Climb'",https://360films.co.za/portfolio/ladbrokes-climb/,"Orange Films",Commercials,commercials,"Knucklehead, London","Zak & Dan","M&C Saatchi, London",20080201,https://vimeo.com/1111754444,,,"Ladbrokes 'Climb'","previous commercials"
1361,"Fake Bake 'Live the Lie'",https://360films.co.za/portfolio/fake-bake-live-the-lie/,"Orange Films",Commercials,commercials,"Chief Productions, Manchester","Anders Hallberg",TBWAManchester,20080201,https://vimeo.com/1111754408,,,"Fake Bake 'Live the Lie'","previous commercials"
1362,"Ocean Spray 'Mud'",https://360films.co.za/portfolio/ocean-spray-mud/,"Orange Films",Commercials,commercials,"Crossroads, London","Dan Nathan","The East Agency, London",20080201,https://vimeo.com/1111754369,,,"Ocean Spray 'Mud'","previous commercials"
1363,"Ocean Spray 'Salt'",https://360films.co.za/portfolio/ocean-spray-salt/,"Orange Films",Commercials,commercials,"Crossroads, UK","Dan Nathan","The East Agency, London",20080201,https://vimeo.com/1111754341,,,"Ocean Spray 'Salt'","previous commercials"
1364,"C&A 'Hot Weeks'",https://360films.co.za/portfolio/ca-hot-weeks/,"Orange Films",Commercials,commercials,"Embassy of Dreams, Munich","John Buche","Steinle Melches, Düsseldorf",20080201,https://vimeo.com/1111754312,,,"C&A 'Hot Weeks'","previous commercials"
1365,"Viking 'Pushing'",https://360films.co.za/portfolio/viking-pushing/,"Orange Films",Commercials,commercials,"Embassy of Dreams, Munich","Johan Tappert","Euro RSCG, Düsseldorf",20080201,https://vimeo.com/1111754280,,,"Viking 'Pushing'","previous commercials"
1366,"Think 'Hold Your Breath'",https://360films.co.za/portfolio/think-hold-your-breath/,"Orange Films",Commercials,commercials,"Motion Blur, Oslo","Nic & Sune","Think, Oslo",20080201,https://vimeo.com/1111754260,,,"Think 'Hold Your Breath'","previous commercials"
